district_id,district_pop,target,difference,abs_difference,relative_deviation,population_target_ratio,population_floor,population_cap,within_hard_bounds,within_target_tolerance
14,14050,16205.307692307691,-2155.3076923076915,2155.3076923076915,-0.1330001091760059,0.8669998908239941,13774.511538461538,24307.96153846154,True,False
15,15998,16205.307692307691,-207.30769230769147,207.30769230769147,-0.01279257982902083,0.9872074201709792,13774.511538461538,24307.96153846154,True,True
16,17572,16205.307692307691,1366.6923076923085,1366.6923076923085,0.08433609121417965,1.0843360912141797,13774.511538461538,24307.96153846154,True,True
17,15052,16205.307692307691,-1153.3076923076915,1153.3076923076915,-0.07116851553859367,0.9288314844614063,13774.511538461538,24307.96153846154,True,True
18,15631,16205.307692307691,-574.3076923076915,574.3076923076915,-0.03543948089182552,0.9645605191081745,13774.511538461538,24307.96153846154,True,True
19,16261,16205.307692307691,55.69230769230853,55.69230769230853,0.003436670796367814,1.0034366707963678,13774.511538461538,24307.96153846154,True,True
20,16436,16205.307692307691,230.69230769230853,230.69230769230853,0.01423560182086596,1.014235601820866,13774.511538461538,24307.96153846154,True,True
21,16909,16205.307692307691,703.6923076923085,703.6923076923085,0.04342356967565238,1.0434235696756524,13774.511538461538,24307.96153846154,True,True
22,16190,16205.307692307691,-15.307692307691468,15.307692307691468,-0.0009446097907142916,0.9990553902092857,13774.511538461538,24307.96153846154,True,True
23,16466,16205.307692307691,260.69230769230853,260.69230769230853,0.016086847139351358,1.0160868471393514,13774.511538461538,24307.96153846154,True,True
24,16549,16205.307692307691,343.69230769230853,343.69230769230853,0.02120862585382762,1.0212086258538275,13774.511538461538,24307.96153846154,True,True
25,14212,16205.307692307691,-1993.3076923076915,1993.3076923076915,-0.12300338445618478,0.8769966155438152,13774.511538461538,24307.96153846154,True,False
26,16972,16205.307692307691,766.6923076923085,766.6923076923085,0.047311184844471714,1.0473111848444716,13774.511538461538,24307.96153846154,True,True
27,17434,16205.307692307691,1228.6923076923085,1228.6923076923085,0.07582036274914682,1.0758203627491467,13774.511538461538,24307.96153846154,True,True
28,16575,16205.307692307691,369.69230769230853,369.69230769230853,0.022813038463181633,1.0228130384631817,13774.511538461538,24307.96153846154,True,True
29,16658,16205.307692307691,452.69230769230853,452.69230769230853,0.027934817177657896,1.027934817177658,13774.511538461538,24307.96153846154,True,True
30,15436,16205.307692307691,-769.3076923076915,769.3076923076915,-0.047472575461980596,0.9525274245380194,13774.511538461538,24307.96153846154,True,True
31,15456,16205.307692307691,-749.3076923076915,749.3076923076915,-0.04623841191632366,0.9537615880836764,13774.511538461538,24307.96153846154,True,True
32,15185,16205.307692307691,-1020.3076923076915,1020.3076923076915,-0.06296132795997508,0.9370386720400249,13774.511538461538,24307.96153846154,True,True
33,15439,16205.307692307691,-766.3076923076915,766.3076923076915,-0.047287450930132056,0.9527125490698679,13774.511538461538,24307.96153846154,True,True
34,16347,16205.307692307691,141.69230769230853,141.69230769230853,0.008743574042692617,1.0087435740426927,13774.511538461538,24307.96153846154,True,True
35,16758,16205.307692307691,552.6923076923085,552.6923076923085,0.03410563490594255,1.0341056349059425,13774.511538461538,24307.96153846154,True,True
36,16735,16205.307692307691,529.6923076923085,529.6923076923085,0.03268634682843708,1.032686346828437,13774.511538461538,24307.96153846154,True,True
37,16238,16205.307692307691,32.69230769230853,32.69230769230853,0.002017382718862343,1.0020173827188623,13774.511538461538,24307.96153846154,True,True
38,16913,16205.307692307691,707.6923076923085,707.6923076923085,0.043670402384783764,1.0436704023847838,13774.511538461538,24307.96153846154,True,True
39,16242,16205.307692307691,36.69230769230853,36.69230769230853,0.0022642154279937294,1.0022642154279937,13774.511538461538,24307.96153846154,True,True
40,15510,16205.307692307691,-695.3076923076915,695.3076923076915,-0.04290617034304995,0.95709382965695,13774.511538461538,24307.96153846154,True,True
41,16424,16205.307692307691,218.69230769230853,218.69230769230853,0.013495103693471802,1.0134951036934718,13774.511538461538,24307.96153846154,True,True
42,16129,16205.307692307691,-76.30769230769147,76.30769230769147,-0.004708808604967932,0.9952911913950321,13774.511538461538,24307.96153846154,True,True
43,16009,16205.307692307691,-196.30769230769147,196.30769230769147,-0.012113789878909518,0.9878862101210905,13774.511538461538,24307.96153846154,True,True
44,16019,16205.307692307691,-186.30769230769147,186.30769230769147,-0.011496708106081052,0.988503291893919,13774.511538461538,24307.96153846154,True,True
45,16192,16205.307692307691,-13.307692307691468,13.307692307691468,-0.0008211934361485985,0.9991788065638514,13774.511538461538,24307.96153846154,True,True
46,16656,16205.307692307691,450.69230769230853,450.69230769230853,0.027811400823092202,1.0278114008230923,13774.511538461538,24307.96153846154,True,True
47,16391,16205.307692307691,185.69230769230853,185.69230769230853,0.011458733843137866,1.0114587338431378,13774.511538461538,24307.96153846154,True,True
48,15704,16205.307692307691,-501.30769230769147,501.30769230769147,-0.030934783950177718,0.9690652160498223,13774.511538461538,24307.96153846154,True,True
49,16428,16205.307692307691,222.69230769230853,222.69230769230853,0.013741936402603188,1.0137419364026032,13774.511538461538,24307.96153846154,True,True
