territory,district_id,province_code,province_name,dominant_municipality_code,dominant_municipality_name,dominant_population,district_population,dominant_population_share,naming_rule,base_name,district_name
aragon,63,50,Zaragoza,50297,Zaragoza,21079,22229,0.948265778937,DOMINANT_MUNICIPALITY,Zaragoza — Zaragoza,Zaragoza — Zaragoza XXXV
aragon,64,50,Zaragoza,50073,Cariñena,3601,21897,0.164451751381,RURAL_REFERENCE_MUNICIPALITY,Zaragoza — Entorno de Cariñena,Zaragoza — Entorno de Cariñena
aragon,65,50,Zaragoza,50115,Fuentes de Ebro,4674,21921,0.213220199808,RURAL_REFERENCE_MUNICIPALITY,Zaragoza — Entorno de Fuentes de Ebro,Zaragoza — Entorno de Fuentes de Ebro
aragon,66,50,Zaragoza,50182,"Muela, La",6725,21645,0.310695310695,RURAL_REFERENCE_MUNICIPALITY,"Zaragoza — Entorno de Muela, La","Zaragoza — Entorno de Muela, La"
castilla_y_leon,0,05,Ávila,05019,Ávila,29958,29958,1.0,DOMINANT_MUNICIPALITY,Ávila — Ávila,Ávila — Ávila I
castilla_y_leon,1,05,Ávila,05014,Arenas de San Pedro,6480,25774,0.251416155816,RURAL_REFERENCE_MUNICIPALITY,Ávila — Entorno de Arenas de San Pedro,Ávila — Entorno de Arenas de San Pedro
castilla_y_leon,2,05,Ávila,05019,Ávila,27604,27604,1.0,DOMINANT_MUNICIPALITY,Ávila — Ávila,Ávila — Ávila II
castilla_y_leon,3,05,Ávila,05021,"Barco de Ávila, El",2317,25810,0.089771406432,RURAL_REFERENCE_MUNICIPALITY,"Ávila — Entorno de Barco de Ávila, El","Ávila — Entorno de Barco de Ávila, El"
castilla_y_leon,4,05,Ávila,05016,Arévalo,7875,25815,0.305055200465,RURAL_REFERENCE_MUNICIPALITY,Ávila — Entorno de Arévalo,Ávila — Entorno de Arévalo
castilla_y_leon,5,05,Ávila,05240,Sotillo de la Adrada,5046,25777,0.195755906428,RURAL_REFERENCE_MUNICIPALITY,Ávila — Entorno de Sotillo de la Adrada,Ávila — Entorno de Sotillo de la Adrada
castilla_y_leon,6,09,Burgos,09018,Aranda de Duero,28924,28924,1.0,DOMINANT_MUNICIPALITY,Burgos — Aranda de Duero,Burgos — Aranda de Duero
castilla_y_leon,7,09,Burgos,09059,Burgos,30436,30436,1.0,DOMINANT_MUNICIPALITY,Burgos — Burgos,Burgos — Burgos I
castilla_y_leon,8,09,Burgos,09059,Burgos,29736,29736,1.0,DOMINANT_MUNICIPALITY,Burgos — Burgos,Burgos — Burgos II
castilla_y_leon,9,09,Burgos,09059,Burgos,29053,29053,1.0,DOMINANT_MUNICIPALITY,Burgos — Burgos,Burgos — Burgos III
castilla_y_leon,10,09,Burgos,09059,Burgos,29672,29672,1.0,DOMINANT_MUNICIPALITY,Burgos — Burgos,Burgos — Burgos IV
castilla_y_leon,11,09,Burgos,09059,Burgos,29644,29644,1.0,DOMINANT_MUNICIPALITY,Burgos — Burgos,Burgos — Burgos V
