section_id,party,votes
0501905004,Cs,6
0501905004,ESCAÑOS EN BLANCO,2
0501905004,FE de las JONS,2
0501905004,IU-MS-VQ,16
0501905004,NUEVECYL,1
0501905004,PACMA,3
0501905004,PCAS-TC,0
0501905004,PODEMOS - AV,4
0501905004,PP,278
0501905004,PSOE,255
0501905004,SALF,20
0501905004,VOX,223
0501905004,XAV,219
0501905005,Cs,1
0501905005,ESCAÑOS EN BLANCO,4
0501905005,FE de las JONS,5
0501905005,IU-MS-VQ,9
0501905005,NUEVECYL,1
0501905005,PACMA,7
0501905005,PCAS-TC,2
0501905005,PODEMOS - AV,13
0501905005,PP,259
0501905005,PSOE,190
0501905005,SALF,17
0501905005,VOX,158
0501905005,XAV,218
0501905006,Cs,4
0501905006,ESCAÑOS EN BLANCO,3
0501905006,FE de las JONS,1
0501905006,IU-MS-VQ,17
0501905006,NUEVECYL,1
0501905006,PACMA,3
0501905006,PCAS-TC,0
0501905006,PODEMOS - AV,5
0501905006,PP,265
0501905006,PSOE,243
0501905006,SALF,20
0501905006,VOX,322
0501905006,XAV,359
0501906001,Cs,1
0501906001,ESCAÑOS EN BLANCO,0
0501906001,FE de las JONS,0
0501906001,IU-MS-VQ,5
0501906001,NUEVECYL,0
0501906001,PACMA,1
0501906001,PCAS-TC,0
0501906001,PODEMOS - AV,1
0501906001,PP,208
0501906001,PSOE,63
0501906001,SALF,5
0501906001,VOX,78
0501906001,XAV,106
0501906002,Cs,7
0501906002,ESCAÑOS EN BLANCO,2
0501906002,FE de las JONS,2
0501906002,IU-MS-VQ,20
0501906002,NUEVECYL,1
0501906002,PACMA,1
0501906002,PCAS-TC,3
0501906002,PODEMOS - AV,7
0501906002,PP,377
0501906002,PSOE,277
0501906002,SALF,22
0501906002,VOX,182
0501906002,XAV,225
0501906003,Cs,1
0501906003,ESCAÑOS EN BLANCO,7
0501906003,FE de las JONS,2
0501906003,IU-MS-VQ,18
0501906003,NUEVECYL,3
0501906003,PACMA,8
0501906003,PCAS-TC,0
0501906003,PODEMOS - AV,3
0501906003,PP,253
0501906003,PSOE,170
0501906003,SALF,11
0501906003,VOX,214
0501906003,XAV,226
0501906004,Cs,2
0501906004,ESCAÑOS EN BLANCO,5
0501906004,FE de las JONS,2
0501906004,IU-MS-VQ,9
0501906004,NUEVECYL,1
0501906004,PACMA,2
0501906004,PCAS-TC,0
0501906004,PODEMOS - AV,1
0501906004,PP,86
0501906004,PSOE,82
0501906004,SALF,6
0501906004,VOX,48
0501906004,XAV,75
0501906005,Cs,2
0501906005,ESCAÑOS EN BLANCO,0
0501906005,FE de las JONS,1
0501906005,IU-MS-VQ,7
0501906005,NUEVECYL,2
0501906005,PACMA,1
0501906005,PCAS-TC,0
0501906005,PODEMOS - AV,2
0501906005,PP,181
0501906005,PSOE,133
0501906005,SALF,0
0501906005,VOX,85
0501906005,XAV,133
0501906006,Cs,3
0501906006,ESCAÑOS EN BLANCO,1
0501906006,FE de las JONS,3
0501906006,IU-MS-VQ,20
0501906006,NUEVECYL,1
0501906006,PACMA,1
0501906006,PCAS-TC,2
0501906006,PODEMOS - AV,5
0501906006,PP,229
0501906006,PSOE,199
0501906006,SALF,9
0501906006,VOX,100
0501906006,XAV,211
0501906008,Cs,1
0501906008,ESCAÑOS EN BLANCO,0
0501906008,FE de las JONS,1
0501906008,IU-MS-VQ,7
0501906008,NUEVECYL,0
0501906008,PACMA,0
0501906008,PCAS-TC,3
0501906008,PODEMOS - AV,1
0501906008,PP,192
0501906008,PSOE,140
0501906008,SALF,7
0501906008,VOX,66
0501906008,XAV,150
0501906009,Cs,2
0501906009,ESCAÑOS EN BLANCO,1
0501906009,FE de las JONS,0
0501906009,IU-MS-VQ,1
0501906009,NUEVECYL,1
0501906009,PACMA,3
0501906009,PCAS-TC,1
0501906009,PODEMOS - AV,2
0501906009,PP,187
0501906009,PSOE,63
0501906009,SALF,2
0501906009,VOX,67
0501906009,XAV,66
0501906010,Cs,0
0501906010,ESCAÑOS EN BLANCO,1
0501906010,FE de las JONS,1
0501906010,IU-MS-VQ,8
0501906010,NUEVECYL,1
0501906010,PACMA,1
0501906010,PCAS-TC,1
0501906010,PODEMOS - AV,1
0501906010,PP,189
0501906010,PSOE,113
0501906010,SALF,5
0501906010,VOX,70
0501906010,XAV,118
0501906011,Cs,2
0501906011,ESCAÑOS EN BLANCO,6
0501906011,FE de las JONS,2
0501906011,IU-MS-VQ,11
0501906011,NUEVECYL,0
0501906011,PACMA,1
0501906011,PCAS-TC,0
0501906011,PODEMOS - AV,2
0501906011,PP,252
0501906011,PSOE,109
0501906011,SALF,21
0501906011,VOX,146
0501906011,XAV,168
0501906012,Cs,3
0501906012,ESCAÑOS EN BLANCO,3
0501906012,FE de las JONS,1
0501906012,IU-MS-VQ,9
0501906012,NUEVECYL,1
0501906012,PACMA,4
0501906012,PCAS-TC,3
0501906012,PODEMOS - AV,7
0501906012,PP,295
0501906012,PSOE,214
0501906012,SALF,14
0501906012,VOX,251
0501906012,XAV,254
0501906013,Cs,6
0501906013,ESCAÑOS EN BLANCO,7
0501906013,FE de las JONS,3
0501906013,IU-MS-VQ,23
0501906013,NUEVECYL,3
0501906013,PACMA,5
0501906013,PCAS-TC,2
0501906013,PODEMOS - AV,12
0501906013,PP,317
0501906013,PSOE,235
0501906013,SALF,26
0501906013,VOX,275
0501906013,XAV,313
0501906014,Cs,3
0501906014,ESCAÑOS EN BLANCO,2
0501906014,FE de las JONS,0
0501906014,IU-MS-VQ,14
0501906014,NUEVECYL,1
0501906014,PACMA,2
0501906014,PCAS-TC,1
0501906014,PODEMOS - AV,4
0501906014,PP,229
0501906014,PSOE,166
0501906014,SALF,6
0501906014,VOX,133
0501906014,XAV,178
0502101001,Cs,2
0502101001,ESCAÑOS EN BLANCO,1
0502101001,FE de las JONS,1
0502101001,IU-MS-VQ,11
0502101001,NUEVECYL,3
0502101001,PACMA,3
0502101001,PCAS-TC,1
0502101001,PODEMOS - AV,5
0502101001,PP,181
0502101001,PSOE,165
0502101001,SALF,10
0502101001,VOX,77
0502101001,XAV,35
0502101002,Cs,0
0502101002,ESCAÑOS EN BLANCO,2
0502101002,FE de las JONS,2
0502101002,IU-MS-VQ,15
0502101002,NUEVECYL,5
0502101002,PACMA,2
0502101002,PCAS-TC,0
0502101002,PODEMOS - AV,4
0502101002,PP,204
0502101002,PSOE,232
0502101002,SALF,5
0502101002,VOX,79
0502101002,XAV,45
0502201001,Cs,0
0502201001,ESCAÑOS EN BLANCO,0
0502201001,FE de las JONS,3
0502201001,IU-MS-VQ,1
0502201001,NUEVECYL,0
0502201001,PACMA,0
0502201001,PCAS-TC,0
0502201001,PODEMOS - AV,2
0502201001,PP,186
0502201001,PSOE,84
0502201001,SALF,12
0502201001,VOX,119
0502201001,XAV,42
0502201002,Cs,1
0502201002,ESCAÑOS EN BLANCO,0
0502201002,FE de las JONS,0
0502201002,IU-MS-VQ,3
0502201002,NUEVECYL,0
