Comarca código,Comarca nombre,Municipio código,Municipio nombre,Provincia código,Provincia nombre
07,Somontano de Barbastro,22128,Ilche,22,Huesca
07,Somontano de Barbastro,22135,Laluenga,22,Huesca
07,Somontano de Barbastro,22139,Laperdiguera,22,Huesca
07,Somontano de Barbastro,22141,Lascellas-Ponzano,22,Huesca
07,Somontano de Barbastro,22160,Naval,22,Huesca
07,Somontano de Barbastro,22164,Olvena,22,Huesca
07,Somontano de Barbastro,22174,Peralta de Alcofea,22,Huesca
07,Somontano de Barbastro,22176,Peraltilla,22,Huesca
07,Somontano de Barbastro,22186,Pozán de Vero,22,Huesca
07,Somontano de Barbastro,22201,Salas Altas,22,Huesca
07,Somontano de Barbastro,22202,Salas Bajas,22,Huesca
07,Somontano de Barbastro,22235,Torres de Alcanadre,22,Huesca
07,Somontano de Barbastro,22906,Santa María de Dulcis,22,Huesca
07,Somontano de Barbastro,22908,Hoz y Costeán,22,Huesca
08,Cinca Medio,22007,Albalate de Cinca,22,Huesca
08,Cinca Medio,22017,Alcolea de Cinca,22,Huesca
08,Cinca Medio,22020,Alfántega,22,Huesca
08,Cinca Medio,22022,Almunia de San Juan,22,Huesca
08,Cinca Medio,22060,Binaced,22,Huesca
08,Cinca Medio,22110,Fonz,22,Huesca
08,Cinca Medio,22158,Monzón,22,Huesca
08,Cinca Medio,22193,Pueyo de Santa Cruz,22,Huesca
08,Cinca Medio,22903,San Miguel del Cinca,22,Huesca
09,La Litera / La Llitera,22009,Albelda,22,Huesca
09,La Litera / La Llitera,22016,Alcampell,22,Huesca
09,La Litera / La Llitera,22025,Altorricón,22,Huesca
09,La Litera / La Llitera,22040,Azanuy-Alins,22,Huesca
09,La Litera / La Llitera,22043,Baells,22,Huesca
09,La Litera / La Llitera,22045,Baldellou,22,Huesca
09,La Litera / La Llitera,22061,Binéfar,22,Huesca
09,La Litera / La Llitera,22075,Camporrells,22,Huesca
09,La Litera / La Llitera,22089,Castillonroy,22,Huesca
09,La Litera / La Llitera,22099,Esplús,22,Huesca
09,La Litera / La Llitera,22175,Peralta de Calasanz,22,Huesca
09,La Litera / La Llitera,22205,San Esteban de Litera,22,Huesca
09,La Litera / La Llitera,22225,Tamarite de Litera,22,Huesca
09,La Litera / La Llitera,22909,Vencillón,22,Huesca
10,Los Monegros,22008,Albalatillo,22,Huesca
10,Los Monegros,22012,Albero Bajo,22,Huesca
