CUSEC_KEY,CUMUN,NMUN,CPRO,NPRO,POP_2025,district_id
2217501001,22175,Peralta de Calasanz,22,Huesca,205,3
2217601001,22176,Peraltilla,22,Huesca,212,10
2217701001,22177,Perarrúa,22,Huesca,116,8
2217801001,22178,Pertusa,22,Huesca,129,2
2218101001,22181,Piracés,22,Huesca,91,4
2218201001,22182,Plan,22,Huesca,274,8
2218401001,22184,Poleñino,22,Huesca,183,4
2218601001,22186,Pozán de Vero,22,Huesca,227,10
2218701001,22187,"Puebla de Castro, La",22,Huesca,427,8
2218801001,22188,Puente de Montañana,22,Huesca,87,8
2218901001,22189,Puértolas,22,Huesca,219,8
2219001001,22190,"Pueyo de Araguás, El",22,Huesca,178,8
2219301001,22193,Pueyo de Santa Cruz,22,Huesca,333,3
2219501001,22195,Quicena,22,Huesca,391,2
2219701001,22197,Robres,22,Huesca,524,4
2219901001,22199,Sabiñánigo,22,Huesca,1427,2
2219901002,22199,Sabiñánigo,22,Huesca,1593,2
2219901003,22199,Sabiñánigo,22,Huesca,1243,2
2219901004,22199,Sabiñánigo,22,Huesca,1945,2
2219901005,22199,Sabiñánigo,22,Huesca,1200,2
2219901006,22199,Sabiñánigo,22,Huesca,1005,2
2219901007,22199,Sabiñánigo,22,Huesca,1252,2
2220001001,22200,Sahún,22,Huesca,322,8
2220101001,22201,Salas Altas,22,Huesca,297,10
2220201001,22202,Salas Bajas,22,Huesca,184,10
2220301001,22203,Salillas,22,Huesca,93,4
2220401001,22204,Sallent de Gállego,22,Huesca,1540,9
2220501001,22205,San Esteban de Litera,22,Huesca,669,3
2220601001,22206,Sangarrén,22,Huesca,231,4
2220701001,22207,San Juan de Plan,22,Huesca,145,8
2220801001,22208,Santa Cilia,22,Huesca,242,9
2220901001,22209,Santa Cruz de la Serós,22,Huesca,194,7
2221201001,22212,Santaliestra y San Quílez,22,Huesca,78,8
2221301001,22213,Sariñena,22,Huesca,1908,4
2221301002,22213,Sariñena,22,Huesca,1601,4
2221301003,22213,Sariñena,22,Huesca,610,4
2221401001,22214,Secastilla,22,Huesca,142,8
2221501001,22215,Seira,22,Huesca,149,8
2221701001,22217,Sena,22,Huesca,488,4
2221801001,22218,Senés de Alcubierre,22,Huesca,49,4
2222001001,22220,Sesa,22,Huesca,168,4
2222101001,22221,Sesué,22,Huesca,120,8
2222201001,22222,Siétamo,22,Huesca,703,8
2222301001,22223,Sopeira,22,Huesca,86,8
2222501001,22225,Tamarite de Litera,22,Huesca,2004,6
2222501002,22225,Tamarite de Litera,22,Huesca,590,6
2222501003,22225,Tamarite de Litera,22,Huesca,863,6
2222601001,22226,Tardienta,22,Huesca,951,4
2222701001,22227,Tella-Sin,22,Huesca,207,8
2222801001,22228,Tierz,22,Huesca,823,2
2222901001,22229,Tolva,22,Huesca,130,8
2223001001,22230,Torla-Ordesa,22,Huesca,344,9
2223201001,22232,Torralba de Aragón,22,Huesca,102,4
2223301001,22233,Torre la Ribera,22,Huesca,102,8
2223401001,22234,Torrente de Cinca,22,Huesca,1077,5
2223501001,22235,Torres de Alcanadre,22,Huesca,91,4
2223601001,22236,Torres de Barbués,22,Huesca,275,4
2223901001,22239,Tramaced,22,Huesca,108,4
2224201001,22242,Valfarta,22,Huesca,54,4
2224301001,22243,Valle de Bardají,22,Huesca,52,8
2224401001,22244,Valle de Lierp,22,Huesca,52,8
2224501001,22245,Velilla de Cinca,22,Huesca,512,5
2224601001,22246,Beranuy,22,Huesca,67,8
2224701001,22247,Viacamp y Litera,22,Huesca,41,8
2224801001,22248,Vicién,22,Huesca,150,4
2224901001,22249,Villanova,22,Huesca,171,8
2225001001,22250,Villanúa,22,Huesca,569,2
2225101001,22251,Villanueva de Sigena,22,Huesca,342,4
2225201001,22252,Yebra de Basa,22,Huesca,157,2
2225301001,22253,Yésero,22,Huesca,60,2
2225401001,22254,Zaidín,22,Huesca,1833,5
2290101001,22901,Valle de Hecho,22,Huesca,812,9
2290201001,22902,Puente la Reina de Jaca,22,Huesca,270,7
2290301001,22903,San Miguel del Cinca,22,Huesca,777,4
2290401001,22904,"Sotonera, La",22,Huesca,880,2
2290501001,22905,Lupiñén-Ortilla,22,Huesca,356,7
2290601001,22906,Santa María de Dulcis,22,Huesca,205,10
2290701001,22907,Aínsa-Sobrarbe,22,Huesca,2315,8
2290801001,22908,Hoz y Costean,22,Huesca,225,10
2290901001,22909,Vencillón,22,Huesca,402,6
4400101001,44001,Ababuj,44,Teruel,74,12
4400201001,44002,Abejuela,44,Teruel,63,15
4400301001,44003,Aguatón,44,Teruel,18,16
4400401001,44004,Aguaviva,44,Teruel,563,17
4400501001,44005,Aguilar del Alfambra,44,Teruel,84,12
4400601001,44006,Alacón,44,Teruel,204,16
4400701001,44007,Alba,44,Teruel,183,16
4400901001,44009,Albarracín,44,Teruel,1001,15
4401001001,44010,Albentosa,44,Teruel,287,15
4401101001,44011,Alcaine,44,Teruel,38,16
4401201001,44012,Alcalá de la Selva,44,Teruel,381,15
4401301001,44013,Alcañiz,44,Teruel,1002,14
4401302001,44013,Alcañiz,44,Teruel,929,14
4401303001,44013,Alcañiz,44,Teruel,867,14
4401303003,44013,Alcañiz,44,Teruel,886,14
4401303005,44013,Alcañiz,44,Teruel,1897,14
4401304001,44013,Alcañiz,44,Teruel,841,14
4401304002,44013,Alcañiz,44,Teruel,1999,14
4401401001,44014,Alcorisa,44,Teruel,1677,17
4401401002,44014,Alcorisa,44,Teruel,1565,17
4401601001,44016,Alfambra,44,Teruel,485,12
4401701001,44017,Aliaga,44,Teruel,343,17
4401801001,44018,Almohaja,44,Teruel,10,16
4401901001,44019,Alobras,44,Teruel,63,15
4402001001,44020,Alpeñés,44,Teruel,27,16
4402101001,44021,Allepuz,44,Teruel,123,13
4402201001,44022,Alloza,44,Teruel,556,12
4402301001,44023,Allueva,44,Teruel,31,16
4402401001,44024,Anadón,44,Teruel,35,12
4402501002,44025,Andorra,44,Teruel,1701,12
4402601001,44026,Arcos de las Salinas,44,Teruel,105,15
4402701001,44027,Arens de Lledó,44,Teruel,188,17
4402801001,44028,Argente,44,Teruel,204,16
4402901001,44029,Ariño,44,Teruel,608,16
4403101001,44031,Azaila,44,Teruel,94,14
4403201001,44032,Bádenas,44,Teruel,28,16
4403301001,44033,Báguena,44,Teruel,277,16
4403401001,44034,Bañón,44,Teruel,152,16
4403501001,44035,Barrachina,44,Teruel,113,16
4403601001,44036,Bea,44,Teruel,30,16
4403701001,44037,Beceite,44,Teruel,574,17
4403801001,44038,Belmonte de San José,44,Teruel,114,17
4403901001,44039,Bello,44,Teruel,203,16
4404001001,44040,Berge,44,Teruel,220,17
4404101001,44041,Bezas,44,Teruel,73,15
4404201001,44042,Blancas,44,Teruel,132,16
4404301001,44043,Blesa,44,Teruel,74,16
4404401001,44044,Bordón,44,Teruel,116,15
4404501001,44045,Bronchales,44,Teruel,475,16
4404601001,44046,Bueña,44,Teruel,65,16
4404701001,44047,Burbáguena,44,Teruel,397,16
4404801001,44048,Cabra de Mora,44,Teruel,66,15
4404901001,44049,Calaceite,44,Teruel,961,17
4405001003,44050,Calamocha,44,Teruel,566,16
4405101001,44051,Calanda,44,Teruel,942,17
4405101002,44051,Calanda,44,Teruel,1546,17
4405101003,44051,Calanda,44,Teruel,1315,17
4405201001,44052,Calomarde,44,Teruel,76,15
4405301001,44053,Camañas,44,Teruel,136,15
4405401001,44054,Camarena de la Sierra,44,Teruel,139,15
4405501001,44055,Camarillas,44,Teruel,100,12
4405601001,44056,Caminreal,44,Teruel,608,16
4405901001,44059,Cantavieja,44,Teruel,727,15
4406001001,44060,Cañada de Benatanduz,44,Teruel,40,15
4406101001,44061,"Cañada de Verich, La",44,Teruel,72,17
4406201001,44062,Cañada Vellida,44,Teruel,36,16
4406301001,44063,Cañizar del Olivar,44,Teruel,112,12
4406401001,44064,Cascante del Río,44,Teruel,73,15
4406501001,44065,Castejón de Tornos,44,Teruel,66,16
4406601001,44066,Castel de Cabra,44,Teruel,79,12
4406701001,44067,Castelnou,44,Teruel,92,14
4406801001,44068,Castelserás,44,Teruel,804,14
4407001001,44070,"Castellar, El",44,Teruel,54,15
4407101001,44071,Castellote,44,Teruel,666,15
4407401001,44074,Cedrillas,44,Teruel,656,15
4407501001,44075,Celadas,44,Teruel,335,12
4407601001,44076,Cella,44,Teruel,1173,15
4407601002,44076,Cella,44,Teruel,1521,15
4407701001,44077,"Cerollera, La",44,Teruel,78,17
4408001001,44080,"Codoñera, La",44,Teruel,313,17
4408201001,44082,Corbalán,44,Teruel,118,13
4408401001,44084,Cortes de Aragón,44,Teruel,62,16
4408501001,44085,Cosa,44,Teruel,63,16
4408601001,44086,Cretas,44,Teruel,558,17
4408701001,44087,Crivillén,44,Teruel,91,12
4408801001,44088,"Cuba, La",44,Teruel,53,15
4408901001,44089,Cubla,44,Teruel,57,13
4409001001,44090,Cucalón,44,Teruel,78,16
4409201001,44092,"Cuervo, El",44,Teruel,87,15
4409301001,44093,Cuevas de Almudén,44,Teruel,119,12
4409401001,44094,Cuevas Labradas,44,Teruel,126,13
4409601001,44096,Ejulve,44,Teruel,177,17
4409701001,44097,Escorihuela,44,Teruel,130,12
4409901001,44099,Escucha,44,Teruel,797,12
4410001001,44100,Estercuel,44,Teruel,201,12
4410101001,44101,Ferreruela de Huerva,44,Teruel,79,16
4410201001,44102,Fonfría,44,Teruel,35,16
