CUSEC_KEY,CUMUN,NMUN,CPRO,NPRO,POP_2025,district_id
2217001001,22170,Panticosa,22,Huesca,919,1
2217201001,22172,Peñalba,22,Huesca,685,29
2217301001,22173,"Peñas de Riglos, Las",22,Huesca,263,42
2217401001,22174,Peralta de Alcofea,22,Huesca,573,55
2217501001,22175,Peralta de Calasanz,22,Huesca,205,63
2217601001,22176,Peraltilla,22,Huesca,212,55
2217701001,22177,Perarrúa,22,Huesca,116,8
2217801001,22178,Pertusa,22,Huesca,129,9
2218101001,22181,Piracés,22,Huesca,91,55
2218201001,22182,Plan,22,Huesca,274,1
2218401001,22184,Poleñino,22,Huesca,183,55
2218601001,22186,Pozán de Vero,22,Huesca,227,55
2218701001,22187,"Puebla de Castro, La",22,Huesca,427,8
2218801001,22188,Puente de Montañana,22,Huesca,87,32
2218901001,22189,Puértolas,22,Huesca,219,1
2219001001,22190,"Pueyo de Araguás, El",22,Huesca,178,8
2219301001,22193,Pueyo de Santa Cruz,22,Huesca,333,36
2219501001,22195,Quicena,22,Huesca,391,9
2219701001,22197,Robres,22,Huesca,524,54
2219901001,22199,Sabiñánigo,22,Huesca,1427,1
2219901002,22199,Sabiñánigo,22,Huesca,1593,1
2219901003,22199,Sabiñánigo,22,Huesca,1243,1
2219901004,22199,Sabiñánigo,22,Huesca,1945,1
2219901005,22199,Sabiñánigo,22,Huesca,1200,1
2219901006,22199,Sabiñánigo,22,Huesca,1005,10
2219901007,22199,Sabiñánigo,22,Huesca,1252,1
2220001001,22200,Sahún,22,Huesca,322,1
2220101001,22201,Salas Altas,22,Huesca,297,55
2220201001,22202,Salas Bajas,22,Huesca,184,55
2220301001,22203,Salillas,22,Huesca,93,55
2220401001,22204,Sallent de Gállego,22,Huesca,1540,1
2220501001,22205,San Esteban de Litera,22,Huesca,669,36
2220601001,22206,Sangarrén,22,Huesca,231,9
2220701001,22207,San Juan de Plan,22,Huesca,145,1
2220801001,22208,Santa Cilia,22,Huesca,242,42
2220901001,22209,Santa Cruz de la Serós,22,Huesca,194,42
2221201001,22212,Santaliestra y San Quílez,22,Huesca,78,1
2221301001,22213,Sariñena,22,Huesca,1908,28
2221301002,22213,Sariñena,22,Huesca,1601,28
2221301003,22213,Sariñena,22,Huesca,610,28
2221401001,22214,Secastilla,22,Huesca,142,8
2221501001,22215,Seira,22,Huesca,149,1
2221701001,22217,Sena,22,Huesca,488,28
2221801001,22218,Senés de Alcubierre,22,Huesca,49,9
2222001001,22220,Sesa,22,Huesca,168,55
2222101001,22221,Sesué,22,Huesca,120,1
2222201001,22222,Siétamo,22,Huesca,703,9
2222301001,22223,Sopeira,22,Huesca,86,32
2222501001,22225,Tamarite de Litera,22,Huesca,2004,63
2222501002,22225,Tamarite de Litera,22,Huesca,590,63
2222501003,22225,Tamarite de Litera,22,Huesca,863,63
2222601001,22226,Tardienta,22,Huesca,951,9
2222701001,22227,Tella-Sin,22,Huesca,207,1
2222801001,22228,Tierz,22,Huesca,823,24
2222901001,22229,Tolva,22,Huesca,130,32
2223001001,22230,Torla-Ordesa,22,Huesca,344,1
2223201001,22232,Torralba de Aragón,22,Huesca,102,54
2223301001,22233,Torre la Ribera,22,Huesca,102,32
2223401001,22234,Torrente de Cinca,22,Huesca,1077,29
2223501001,22235,Torres de Alcanadre,22,Huesca,91,55
2223601001,22236,Torres de Barbués,22,Huesca,275,54
2223901001,22239,Tramaced,22,Huesca,108,55
2224201001,22242,Valfarta,22,Huesca,54,28
2224301001,22243,Valle de Bardají,22,Huesca,52,1
2224401001,22244,Valle de Lierp,22,Huesca,52,1
2224501001,22245,Velilla de Cinca,22,Huesca,512,23
2224601001,22246,Beranuy,22,Huesca,67,32
2224701001,22247,Viacamp y Litera,22,Huesca,41,63
2224801001,22248,Vicién,22,Huesca,150,54
2224901001,22249,Villanova,22,Huesca,171,1
2225001001,22250,Villanúa,22,Huesca,569,1
2225101001,22251,Villanueva de Sigena,22,Huesca,342,29
2225201001,22252,Yebra de Basa,22,Huesca,157,1
2225301001,22253,Yésero,22,Huesca,60,1
2225401001,22254,Zaidín,22,Huesca,1833,23
2290101001,22901,Valle de Hecho,22,Huesca,812,42
2290201001,22902,Puente la Reina de Jaca,22,Huesca,270,42
2290301001,22903,San Miguel del Cinca,22,Huesca,777,29
2290401001,22904,"Sotonera, La",22,Huesca,880,45
2290501001,22905,Lupiñén-Ortilla,22,Huesca,356,45
2290601001,22906,Santa María de Dulcis,22,Huesca,205,8
2290701001,22907,Aínsa-Sobrarbe,22,Huesca,2315,8
2290801001,22908,Hoz y Costean,22,Huesca,225,8
2290901001,22909,Vencillón,22,Huesca,402,63
4400101001,44001,Ababuj,44,Teruel,74,16
4400201001,44002,Abejuela,44,Teruel,63,16
4400301001,44003,Aguatón,44,Teruel,18,16
4400401001,44004,Aguaviva,44,Teruel,563,13
4400501001,44005,Aguilar del Alfambra,44,Teruel,84,16
4400601001,44006,Alacón,44,Teruel,204,66
4400701001,44007,Alba,44,Teruel,183,37
4400901001,44009,Albarracín,44,Teruel,1001,37
4401001001,44010,Albentosa,44,Teruel,287,16
4401101001,44011,Alcaine,44,Teruel,38,66
4401201001,44012,Alcalá de la Selva,44,Teruel,381,16
4401301001,44013,Alcañiz,44,Teruel,1002,40
4401302001,44013,Alcañiz,44,Teruel,929,40
4401303001,44013,Alcañiz,44,Teruel,867,40
4401303003,44013,Alcañiz,44,Teruel,886,40
4401303005,44013,Alcañiz,44,Teruel,1897,40
4401304001,44013,Alcañiz,44,Teruel,841,40
4401304002,44013,Alcañiz,44,Teruel,1999,40
4401401001,44014,Alcorisa,44,Teruel,1677,43
4401401002,44014,Alcorisa,44,Teruel,1565,43
4401601001,44016,Alfambra,44,Teruel,485,16
4401701001,44017,Aliaga,44,Teruel,343,16
