CUSEC,CUMUN,CSEC,CDIS,CMUN,CPRO,CCA,CUDIS,CLAU2,NPRO,NCA,CNUT0,CNUT1,CNUT2,CNUT3,NMUN,CUSEC_KEY,POP_2025
2211501001,22115,001,01,115,22,02,2211501,22115,Huesca,Aragón,ES,2,4,1,"Grado, El",2211501001,382
2211601001,22116,001,01,116,22,02,2211601,22116,Huesca,Aragón,ES,2,4,1,Grañén,2211601001,1733
2211701001,22117,001,01,117,22,02,2211701,22117,Huesca,Aragón,ES,2,4,1,Graus,2211701001,1681
2211701002,22117,002,01,117,22,02,2211701,22117,Huesca,Aragón,ES,2,4,1,Graus,2211701002,1720
2211901001,22119,001,01,119,22,02,2211901,22119,Huesca,Aragón,ES,2,4,1,Gurrea de Gállego,2211901001,1429
2212201001,22122,001,01,122,22,02,2212201,22122,Huesca,Aragón,ES,2,4,1,Hoz de Jaca,2212201001,82
2212401001,22124,001,01,124,22,02,2212401,22124,Huesca,Aragón,ES,2,4,1,Huerto,2212401001,215
2212501001,22125,001,01,125,22,02,2212501,22125,Huesca,Aragón,ES,2,4,1,Huesca,2212501001,1783
2212501002,22125,002,01,125,22,02,2212501,22125,Huesca,Aragón,ES,2,4,1,Huesca,2212501002,1418
2212501003,22125,003,01,125,22,02,2212501,22125,Huesca,Aragón,ES,2,4,1,Huesca,2212501003,1249
2212502001,22125,001,02,125,22,02,2212502,22125,Huesca,Aragón,ES,2,4,1,Huesca,2212502001,1543
2212502002,22125,002,02,125,22,02,2212502,22125,Huesca,Aragón,ES,2,4,1,Huesca,2212502002,1923
2212502003,22125,003,02,125,22,02,2212502,22125,Huesca,Aragón,ES,2,4,1,Huesca,2212502003,956
2212502004,22125,004,02,125,22,02,2212502,22125,Huesca,Aragón,ES,2,4,1,Huesca,2212502004,2059
2212502005,22125,005,02,125,22,02,2212502,22125,Huesca,Aragón,ES,2,4,1,Huesca,2212502005,1458
2212502006,22125,006,02,125,22,02,2212502,22125,Huesca,Aragón,ES,2,4,1,Huesca,2212502006,1176
2212503001,22125,001,03,125,22,02,2212503,22125,Huesca,Aragón,ES,2,4,1,Huesca,2212503001,1453
2212503002,22125,002,03,125,22,02,2212503,22125,Huesca,Aragón,ES,2,4,1,Huesca,2212503002,1141
2212503003,22125,003,03,125,22,02,2212503,22125,Huesca,Aragón,ES,2,4,1,Huesca,2212503003,1807
2212503004,22125,004,03,125,22,02,2212503,22125,Huesca,Aragón,ES,2,4,1,Huesca,2212503004,1726
2212503005,22125,005,03,125,22,02,2212503,22125,Huesca,Aragón,ES,2,4,1,Huesca,2212503005,1544
2212503006,22125,006,03,125,22,02,2212503,22125,Huesca,Aragón,ES,2,4,1,Huesca,2212503006,2305
2212503007,22125,007,03,125,22,02,2212503,22125,Huesca,Aragón,ES,2,4,1,Huesca,2212503007,1211
2212504001,22125,001,04,125,22,02,2212504,22125,Huesca,Aragón,ES,2,4,1,Huesca,2212504001,2305
2212504002,22125,002,04,125,22,02,2212504,22125,Huesca,Aragón,ES,2,4,1,Huesca,2212504002,1309
2212504003,22125,003,04,125,22,02,2212504,22125,Huesca,Aragón,ES,2,4,1,Huesca,2212504003,1750
2212504004,22125,004,04,125,22,02,2212504,22125,Huesca,Aragón,ES,2,4,1,Huesca,2212504004,1568
2212505001,22125,001,05,125,22,02,2212505,22125,Huesca,Aragón,ES,2,4,1,Huesca,2212505001,2139
2212505002,22125,002,05,125,22,02,2212505,22125,Huesca,Aragón,ES,2,4,1,Huesca,2212505002,1656
2212506001,22125,001,06,125,22,02,2212506,22125,Huesca,Aragón,ES,2,4,1,Huesca,2212506001,1788
2212506002,22125,002,06,125,22,02,2212506,22125,Huesca,Aragón,ES,2,4,1,Huesca,2212506002,778
2212506003,22125,003,06,125,22,02,2212506,22125,Huesca,Aragón,ES,2,4,1,Huesca,2212506003,1019
2212506004,22125,004,06,125,22,02,2212506,22125,Huesca,Aragón,ES,2,4,1,Huesca,2212506004,808
2212507001,22125,001,07,125,22,02,2212507,22125,Huesca,Aragón,ES,2,4,1,Huesca,2212507001,2034
2212507002,22125,002,07,125,22,02,2212507,22125,Huesca,Aragón,ES,2,4,1,Huesca,2212507002,2583
2212507003,22125,003,07,125,22,02,2212507,22125,Huesca,Aragón,ES,2,4,1,Huesca,2212507003,1420
2212507004,22125,004,07,125,22,02,2212507,22125,Huesca,Aragón,ES,2,4,1,Huesca,2212507004,987
2212508002,22125,002,08,125,22,02,2212508,22125,Huesca,Aragón,ES,2,4,1,Huesca,2212508002,1693
2212508003,22125,003,08,125,22,02,2212508,22125,Huesca,Aragón,ES,2,4,1,Huesca,2212508003,1068
2212508004,22125,004,08,125,22,02,2212508,22125,Huesca,Aragón,ES,2,4,1,Huesca,2212508004,2128
2212601001,22126,001,01,126,22,02,2212601,22126,Huesca,Aragón,ES,2,4,1,Ibieca,2212601001,111
2212701001,22127,001,01,127,22,02,2212701,22127,Huesca,Aragón,ES,2,4,1,Igriés,2212701001,729
2212801001,22128,001,01,128,22,02,2212801,22128,Huesca,Aragón,ES,2,4,1,Ilche,2212801001,187
2212901001,22129,001,01,129,22,02,2212901,22129,Huesca,Aragón,ES,2,4,1,Isábena,2212901001,235
2213001001,22130,001,01,130,22,02,2213001,22130,Huesca,Aragón,ES,2,4,1,Jaca,2213001001,1461
2213001002,22130,002,01,130,22,02,2213001,22130,Huesca,Aragón,ES,2,4,1,Jaca,2213001002,1426
2213001003,22130,003,01,130,22,02,2213001,22130,Huesca,Aragón,ES,2,4,1,Jaca,2213001003,1208
2213001004,22130,004,01,130,22,02,2213001,22130,Huesca,Aragón,ES,2,4,1,Jaca,2213001004,1641
2213001005,22130,005,01,130,22,02,2213001,22130,Huesca,Aragón,ES,2,4,1,Jaca,2213001005,1562
2213001006,22130,006,01,130,22,02,2213001,22130,Huesca,Aragón,ES,2,4,1,Jaca,2213001006,1955
2213001007,22130,007,01,130,22,02,2213001,22130,Huesca,Aragón,ES,2,4,1,Jaca,2213001007,1954
2213001008,22130,008,01,130,22,02,2213001,22130,Huesca,Aragón,ES,2,4,1,Jaca,2213001008,2805
2213101001,22131,001,01,131,22,02,2213101,22131,Huesca,Aragón,ES,2,4,1,Jasa,2213101001,90
2213301001,22133,001,01,133,22,02,2213301,22133,Huesca,Aragón,ES,2,4,1,Labuerda,2213301001,176
2213501001,22135,001,01,135,22,02,2213501,22135,Huesca,Aragón,ES,2,4,1,Laluenga,2213501001,201
2213601001,22136,001,01,136,22,02,2213601,22136,Huesca,Aragón,ES,2,4,1,Lalueza,2213601001,848
2213701001,22137,001,01,137,22,02,2213701,22137,Huesca,Aragón,ES,2,4,1,Lanaja,2213701001,1141
2213901001,22139,001,01,139,22,02,2213901,22139,Huesca,Aragón,ES,2,4,1,Laperdiguera,2213901001,87
2214101001,22141,001,01,141,22,02,2214101,22141,Huesca,Aragón,ES,2,4,1,Lascellas-Ponzano,2214101001,138
2214201001,22142,001,01,142,22,02,2214201,22142,Huesca,Aragón,ES,2,4,1,Lascuarre,2214201001,139
2214301001,22143,001,01,143,22,02,2214301,22143,Huesca,Aragón,ES,2,4,1,Laspaúles,2214301001,255
2214401001,22144,001,01,144,22,02,2214401,22144,Huesca,Aragón,ES,2,4,1,Laspuña,2214401001,279
2214901001,22149,001,01,149,22,02,2214901,22149,Huesca,Aragón,ES,2,4,1,Loarre,2214901001,357
2215001001,22150,001,01,150,22,02,2215001,22150,Huesca,Aragón,ES,2,4,1,Loporzano,2215001001,576
2215101001,22151,001,01,151,22,02,2215101,22151,Huesca,Aragón,ES,2,4,1,Loscorrales,2215101001,98
2215501001,22155,001,01,155,22,02,2215501,22155,Huesca,Aragón,ES,2,4,1,Monesma y Cajigar,2215501001,68
2215601001,22156,001,01,156,22,02,2215601,22156,Huesca,Aragón,ES,2,4,1,Monflorite-Lascasas,2215601001,474
2215701001,22157,001,01,157,22,02,2215701,22157,Huesca,Aragón,ES,2,4,1,Montanuy,2215701001,230
2215801001,22158,001,01,158,22,02,2215801,22158,Huesca,Aragón,ES,2,4,1,Monzón,2215801001,1741
2215801002,22158,002,01,158,22,02,2215801,22158,Huesca,Aragón,ES,2,4,1,Monzón,2215801002,1440
2215801003,22158,003,01,158,22,02,2215801,22158,Huesca,Aragón,ES,2,4,1,Monzón,2215801003,1062
2215801004,22158,004,01,158,22,02,2215801,22158,Huesca,Aragón,ES,2,4,1,Monzón,2215801004,1912
2215801005,22158,005,01,158,22,02,2215801,22158,Huesca,Aragón,ES,2,4,1,Monzón,2215801005,1115
2215801006,22158,006,01,158,22,02,2215801,22158,Huesca,Aragón,ES,2,4,1,Monzón,2215801006,1547
2215801007,22158,007,01,158,22,02,2215801,22158,Huesca,Aragón,ES,2,4,1,Monzón,2215801007,1134
2215801008,22158,008,01,158,22,02,2215801,22158,Huesca,Aragón,ES,2,4,1,Monzón,2215801008,1855
2215801009,22158,009,01,158,22,02,2215801,22158,Huesca,Aragón,ES,2,4,1,Monzón,2215801009,1763
2215801010,22158,010,01,158,22,02,2215801,22158,Huesca,Aragón,ES,2,4,1,Monzón,2215801010,2213
2215801011,22158,011,01,158,22,02,2215801,22158,Huesca,Aragón,ES,2,4,1,Monzón,2215801011,2683
2216001001,22160,001,01,160,22,02,2216001,22160,Huesca,Aragón,ES,2,4,1,Naval,2216001001,279
2216201001,22162,001,01,162,22,02,2216201,22162,Huesca,Aragón,ES,2,4,1,Novales,2216201001,155
2216301001,22163,001,01,163,22,02,2216301,22163,Huesca,Aragón,ES,2,4,1,Nueno,2216301001,573
2216401001,22164,001,01,164,22,02,2216401,22164,Huesca,Aragón,ES,2,4,1,Olvena,2216401001,63
2216501001,22165,001,01,165,22,02,2216501,22165,Huesca,Aragón,ES,2,4,1,Ontiñena,2216501001,498
2216701001,22167,001,01,167,22,02,2216701,22167,Huesca,Aragón,ES,2,4,1,Osso de Cinca,2216701001,664
2216801001,22168,001,01,168,22,02,2216801,22168,Huesca,Aragón,ES,2,4,1,Palo,2216801001,31
2217001001,22170,001,01,170,22,02,2217001,22170,Huesca,Aragón,ES,2,4,1,Panticosa,2217001001,919
2217201001,22172,001,01,172,22,02,2217201,22172,Huesca,Aragón,ES,2,4,1,Peñalba,2217201001,685
2217301001,22173,001,01,173,22,02,2217301,22173,Huesca,Aragón,ES,2,4,1,"Peñas de Riglos, Las",2217301001,263
2217401001,22174,001,01,174,22,02,2217401,22174,Huesca,Aragón,ES,2,4,1,Peralta de Alcofea,2217401001,573
2217501001,22175,001,01,175,22,02,2217501,22175,Huesca,Aragón,ES,2,4,1,Peralta de Calasanz,2217501001,205
2217601001,22176,001,01,176,22,02,2217601,22176,Huesca,Aragón,ES,2,4,1,Peraltilla,2217601001,212
2217701001,22177,001,01,177,22,02,2217701,22177,Huesca,Aragón,ES,2,4,1,Perarrúa,2217701001,116
2217801001,22178,001,01,178,22,02,2217801,22178,Huesca,Aragón,ES,2,4,1,Pertusa,2217801001,129
2218101001,22181,001,01,181,22,02,2218101,22181,Huesca,Aragón,ES,2,4,1,Piracés,2218101001,91
2218201001,22182,001,01,182,22,02,2218201,22182,Huesca,Aragón,ES,2,4,1,Plan,2218201001,274
2218401001,22184,001,01,184,22,02,2218401,22184,Huesca,Aragón,ES,2,4,1,Poleñino,2218401001,183
2218601001,22186,001,01,186,22,02,2218601,22186,Huesca,Aragón,ES,2,4,1,Pozán de Vero,2218601001,227
2218701001,22187,001,01,187,22,02,2218701,22187,Huesca,Aragón,ES,2,4,1,"Puebla de Castro, La",2218701001,427
2218801001,22188,001,01,188,22,02,2218801,22188,Huesca,Aragón,ES,2,4,1,Puente de Montañana,2218801001,87
2218901001,22189,001,01,189,22,02,2218901,22189,Huesca,Aragón,ES,2,4,1,Puértolas,2218901001,219
2219001001,22190,001,01,190,22,02,2219001,22190,Huesca,Aragón,ES,2,4,1,"Pueyo de Araguás, El",2219001001,178
2219301001,22193,001,01,193,22,02,2219301,22193,Huesca,Aragón,ES,2,4,1,Pueyo de Santa Cruz,2219301001,333
2219501001,22195,001,01,195,22,02,2219501,22195,Huesca,Aragón,ES,2,4,1,Quicena,2219501001,391
2219701001,22197,001,01,197,22,02,2219701,22197,Huesca,Aragón,ES,2,4,1,Robres,2219701001,524
2219901001,22199,001,01,199,22,02,2219901,22199,Huesca,Aragón,ES,2,4,1,Sabiñánigo,2219901001,1427
2219901002,22199,002,01,199,22,02,2219901,22199,Huesca,Aragón,ES,2,4,1,Sabiñánigo,2219901002,1593
2219901003,22199,003,01,199,22,02,2219901,22199,Huesca,Aragón,ES,2,4,1,Sabiñánigo,2219901003,1243
2219901004,22199,004,01,199,22,02,2219901,22199,Huesca,Aragón,ES,2,4,1,Sabiñánigo,2219901004,1945
2219901005,22199,005,01,199,22,02,2219901,22199,Huesca,Aragón,ES,2,4,1,Sabiñánigo,2219901005,1200
