district_id,party,votes,bloc
44,MUNDO+JUSTO,9,
44,COALICIÓN ARAGONESA,7,
45,PP,3487,derecha
45,PSOE,2082,izquierda
45,VOX,1468,derecha
45,CHA,923,izquierda
45,IU- MOVIMIENTO SUMAR,354,izquierda
45,EXISTE,231,otros
45,SALF,228,derecha
45,PODEMOS -AV,112,izquierda
45,PAR,53,centro
45,ESCAÑOS EN BLANCO,45,
45,PACMA,43,
45,PCTE,13,
45,MUNDO+JUSTO,9,
45,COALICIÓN ARAGONESA,7,
46,PP,3480,derecha
46,PSOE,2101,izquierda
46,VOX,1221,derecha
46,CHA,849,izquierda
46,IU- MOVIMIENTO SUMAR,252,izquierda
46,EXISTE,212,otros
46,SALF,167,derecha
46,PODEMOS -AV,102,izquierda
46,PAR,61,centro
46,ESCAÑOS EN BLANCO,51,
46,PACMA,29,
46,PCTE,14,
46,MUNDO+JUSTO,9,
46,COALICIÓN ARAGONESA,5,
47,PP,3343,derecha
47,PSOE,3173,izquierda
47,VOX,1708,derecha
47,CHA,1508,izquierda
47,IU- MOVIMIENTO SUMAR,347,izquierda
47,EXISTE,290,otros
47,SALF,265,derecha
47,PODEMOS -AV,133,izquierda
47,PAR,82,centro
47,ESCAÑOS EN BLANCO,64,
47,PACMA,59,
47,PCTE,11,
47,MUNDO+JUSTO,10,
47,COALICIÓN ARAGONESA,3,
48,PP,3174,derecha
48,PSOE,2216,izquierda
48,VOX,1743,derecha
48,CHA,1360,izquierda
48,IU- MOVIMIENTO SUMAR,450,izquierda
48,SALF,394,derecha
48,EXISTE,308,otros
48,PODEMOS -AV,117,izquierda
48,ESCAÑOS EN BLANCO,92,
48,PAR,84,centro
48,PACMA,54,
48,MUNDO+JUSTO,9,
48,COALICIÓN ARAGONESA,8,
48,PCTE,5,
49,PP,4137,derecha
49,VOX,1927,derecha
49,PSOE,1707,izquierda
49,CHA,1049,izquierda
49,SALF,380,derecha
49,IU- MOVIMIENTO SUMAR,242,izquierda
49,EXISTE,236,otros
49,PODEMOS -AV,82,izquierda
49,PAR,73,centro
49,ESCAÑOS EN BLANCO,72,
49,PACMA,42,
49,MUNDO+JUSTO,9,
49,COALICIÓN ARAGONESA,8,
49,PCTE,8,
